Date,return,
10/10/1928,0.010800762,
10/11/1928,0.004659841,
10/15/1928,0.006487511,
10/16/1928,0.003227995,
10/17/1928,0.003217746,
10/18/1928,0.002291956,
10/19/1928,0.00547942,
10/22/1928,-0.006854037,
10/23/1928,0.006398651,
10/24/1928,0.001820619,
10/25/1928,-0.003644651,
10/26/1928,-0.011937699,
10/29/1928,0.016036999,
10/30/1928,-0.010969031,
10/31/1928,-0.003683245,
11/1/1928,0.014197628,
11/2/1928,-0.001820619,
11/5/1928,0.013125284,
11/7/1928,0,
11/8/1928,0.006721917,
11/9/1928,0.007120636,
11/12/1928,0.012778363,
11/13/1928,0.003060112,
11/14/1928,0,
11/15/1928,0.005224261,
11/16/1928,0.014655434,
11/19/1928,0,
11/20/1928,0.008521526,
11/21/1928,-0.014960784,
11/22/1928,0.01283719,
11/23/1928,0.007623967,
11/26/1928,0.004210448,
11/27/1928,0.004611243,
11/28/1928,0.011642584,
11/30/1928,0.003713641,
12/3/1928,-0.01786879,
12/4/1928,0.002512564,
12/5/1928,-0.004191163,
12/6/1928,-0.038532122,
12/7/1928,-0.024299803,
12/10/1928,-0.002238729,
12/11/1928,0.019090525,
12/12/1928,-0.009721685,
12/13/1928,-0.001777778,
12/14/1928,0.002221774,
12/17/1928,-0.004002674,
12/18/1928,0.011519843,
12/19/1928,0.012259304,
12/20/1928,0.0039088,
12/21/1928,0.011207014,
12/24/1928,0.008961058,
12/26/1928,-0.004257137,
12/27/1928,0.008496143,
12/28/1928,0.014279999,
12/31/1928,0.0153117,
1/2/1929,0.018714908,
1/3/1929,0.002013369,
1/4/1929,-0.000402374,
1/7/1929,-0.024441135,
1/8/1929,-0.003304423,
1/9/1929,0.015192285,
1/10/1929,0.001628624,
1/11/1929,-0.001628624,
1/14/1929,0.002035376,
1/15/1929,-0.014748321,
1/16/1929,0.013527528,
1/17/1929,0.005279281,
1/18/1929,0.0032349,
1/21/1929,0.003626883,
1/22/1929,0.008411786,
1/23/1929,0.005965379,
1/24/1929,-0.006364381,
1/25/1929,0.016620921,
1/28/1929,-0.005115101,
1/29/1929,0.000394439,
1/30/1929,0.003542613,
1/31/1929,0.01133042,
2/1/1929,0.003877477,
2/4/1929,-0.007770086,
2/5/1929,0.002337438,
2/6/1929,-0.008204812,
2/7/1929,-0.031078239,
2/8/1929,-0.010986804,
2/11/1929,0.021854329,
2/13/1929,-0.001201642,
2/14/1929,-0.00401611,
2/15/1929,-0.020325903,
2/18/1929,0.001641322,
2/19/1929,-0.000410088,
2/20/1929,0.008576773,
2/21/1929,0.01092027,
2/25/1929,0.002009203,
2/26/1929,0.001604533,
2/27/1929,0.011952293,
2/28/1929,0.013375494,
3/1/1929,0.009334957,
3/4/1929,-0.013250389,
3/5/1929,-0.006691621,
3/6/1929,-0.015923903,
3/7/1929,0.009187203,
3/8/1929,0.006341639,
3/11/1929,-0.014325673,
3/12/1929,0.000801202,
3/13/1929,0.010754973,
3/14/1929,0.019227589,
3/15/1929,0.013511111,
3/18/1929,-0.001534881,
3/19/1929,-0.000384098,
3/20/1929,-0.000384284,
3/21/1929,-0.004622504,
3/22/1929,-0.013605691,
3/25/1929,-0.04155608,
3/26/1929,-0.006549348,
3/27/1929,0.029937511,
3/28/1929,0.01738491,
4/1/1929,-0.025790043,
4/2/1929,0.011588581,
4/3/1929,-0.012392683,
4/4/1929,0.01754423,
4/5/1929,-0.009930569,
4/8/1929,-0.008821188,
4/9/1929,-0.008087428,
4/10/1929,0.006071745,
4/11/1929,0.011235993,
4/12/1929,0.003584987,
4/15/1929,-0.005982072,
4/16/1929,0.002397085,
4/17/1929,0.010321688,
4/18/1929,0.004334982,
4/19/1929,-0.000786782,
4/22/1929,0.011348233,
4/23/1929,0.00581957,
4/24/1929,-0.003875974,
4/25/1929,-0.004671126,
4/26/1929,-0.001952705,
4/29/1929,-0.001956526,
4/30/1929,0.015931947,
5/1/1929,0.001925631,
5/2/1929,0.004606572,
5/3/1929,0.009908617,
5/6/1929,-0.001897932,
5/7/1929,-0.009543879,
5/8/1929,0.004210533,
5/9/1929,-0.006130287,
5/10/1929,0.012223223,
5/13/1929,-0.026935103,
5/14/1929,0.012018055,
5/15/1929,-0.004247969,
5/16/1929,0.005018308,
5/17/1929,0.004610112,
5/20/1929,-0.027196743,
5/21/1929,0.012135674,
5/22/1929,-0.037261583,
5/23/1929,0.021970087,
5/24/1929,-0.007535154,
5/27/1929,-0.037311707,
